image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,label
image1.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,114.0
image2.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,115.0
image3.png,1.7129749497174995,1.581208799633105,1.5830752008153535,1.5045971170158774,1.622118450856553,1.5002836051165955,1.3828436243889362,1.4841695871816751,1.4917566554791237,1.7319338174109657,1.387150728338981,2.3653135479225345,1.526545320238332,1.6350728412476396,1.4293875033238228,1.4559009235573563,201.0,225.0,278.0,244.0,215.0,236.0,258.0,276.0,246.0,217.0,291.0,208.0,236.0,215.0,240.0,269.0,116.0
image4.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,123.0
image5.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,118.0
image6.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,120.0
image7.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,122.0
image8.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,119.0
image9.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,121.0
image10.png,1.6674800777186263,1.5816832892199288,1.5639460745073426,1.4571713707616067,2.198926169794093,1.5639040806608349,1.4650803423716627,1.6217596516146435,1.4771984944584473,1.6991126464366113,1.3811160937542564,2.5237732365744923,1.412868727693312,1.52956063957879,1.4041451383332761,1.4309554377470397,182.0,243.0,263.0,280.0,208.0,245.0,258.0,256.0,242.0,196.0,286.0,181.0,242.0,241.0,268.0,252.0,119.0
